trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,merch_zipcode,is_fraud
2025-07-08 21:24:52,5626852911826681,merchant_7497,misc_net,399.15,Chris,Martinez,F,7336 Cedar St,City_97,OH,82974,46.0037,-70.3298,413126,Designer,1997-12-01,00001a907376a7b6e480b2c4f268a00d,1752009892,46.0484,-111.8391,65888,0
2025-06-25 01:29:21,9796104248522920,merchant_7437,entertainment,856.27,John,Martinez,F,6796 Cedar St,City_35,NC,78508,35.8587,-115.53,223460,Designer,1994-09-14,000005dba10d785bc582513c5e6b0d30,1750814961,28.3606,-81.3408,62528,0
2025-07-05 12:46:56,2885327652197934,merchant_3334,grocery_net,771.79,Jane,Martinez,M,4851 Cedar St,City_19,NC,22399,36.3,-96.7375,360099,Teacher,1979-03-09,00002ef71a7a397846943ec51089f564,1751719616,34.0531,-106.5754,31561,0
2025-07-08 14:46:21,1922083621910210,merchant_1622,grocery_net,752.78,Emma,Rodriguez,F,1093 Oak St,City_93,NC,64907,40.2449,-74.3989,381282,Doctor,1979-01-11,00000a7f08d8742493f969a7fc3107d6,1751985981,47.1899,-84.8582,79972,0
2025-06-17 22:57:51,9294058410062422,merchant_7136,grocery_net,517.81,Jane,Smith,M,2294 Main St,City_14,OH,22258,27.1389,-67.2119,42691,Artist,1973-11-17,000028c3bf7f97176c4a5103da2699fb,1750201071,41.0509,-93.4077,61408,0
2025-07-01 23:31:19,8442262039513334,merchant_1067,misc_pos,852.13,Jane,Johnson,F,6682 Pine St,City_74,TX,76522,36.191,-111.7079,346745,Engineer,1980-10-12,000022acb6e1aac4729cfd5f06aa813e,1751412679,40.8277,-67.9028,64041,0
2025-06-25 07:02:05,8460678460168274,merchant_6317,misc_pos,817.31,Amy,Johnson,F,9724 Cedar St,City_68,CA,94832,30.7056,-84.8679,55891,Doctor,1995-08-06,0000203b80822d993894566fdd77c07e,1750834925,26.1103,-70.3577,97336,0
2025-06-17 11:41:46,9758236873285509,merchant_5053,grocery_net,622.42,David,Jones,F,9034 Pine St,City_68,IL,62247,31.0384,-122.2423,309153,Lawyer,1959-01-20,000019edca9cbd8032c872db0eb9639c,1750160506,47.3562,-71.9224,86350,0
2025-06-27 20:16:43,5301385128195870,merchant_5850,entertainment,433.6,Amy,Miller,M,6707 Main St,City_16,FL,20735,33.2773,-109.3912,44601,Artist,1984-10-16,000019edb97c937aa1f4599418199ca7,1751055403,30.182,-93.6655,24906,0
2025-07-05 21:17:01,3386583279087766,merchant_8873,misc_pos,672.71,John,Jones,F,7484 Main St,City_27,FL,50727,32.3366,-77.3345,48115,Developer,1996-06-14,00001971230d79a325d6a872947228b6,1751750221,27.8492,-95.0621,47953,0
2025-06-27 14:35:57,5881725026464139,merchant_7552,misc_pos,998.44,Emma,Smith,M,7377 Main St,City_68,CA,11711,25.9214,-111.8046,231760,Consultant,1958-07-12,000018f2de1e76b8501f5445b56d8f62,1751034957,41.5943,-114.5332,53348,0
2025-06-20 01:18:32,7376163439165251,merchant_3961,grocery_net,176.26,Michael,Miller,F,134 Cedar St,City_38,FL,62251,41.6623,-70.2165,447273,Developer,1971-12-12,000007654c3315f8aba46d8a01b3cb3c,1750382312,42.5624,-103.2278,15153,0
2025-06-15 16:00:30,9473915609502739,merchant_7435,grocery_pos,865.35,Amy,Jones,F,465 Elm St,City_24,CA,98989,35.4416,-104.4968,59943,Developer,1992-07-16,00001dc8fe99d2764de47eff503d4dae,1750003230,43.5547,-105.2548,99700,0
2025-07-11 14:40:23,7459952259538175,merchant_4752,entertainment,205.52,Robert,Williams,F,375 Cedar St,City_83,TX,92849,41.212,-123.8409,431354,Developer,1984-01-25,00002d852461363fa835c33373ad4d11,1752244823,28.698,-77.6128,12216,0
2025-07-12 11:55:57,1430580118532522,merchant_4277,misc_net,412.34,Chris,Miller,F,2533 Elm St,City_13,NC,13815,35.2729,-122.8954,137632,Doctor,1979-10-12,00002d7eeab2df99a4f1d3a6f35827b4,1752321357,27.2922,-89.8614,66883,0
2025-06-22 23:43:55,9067402112529460,merchant_7685,misc_pos,198.52,Lisa,Smith,M,6251 Pine St,City_47,PA,60388,46.4307,-89.0348,188043,Manager,1979-06-23,0000270681cff0c9a53b11ccadfa8de7,1750635835,37.7121,-85.7559,19059,0
2025-06-28 12:50:52,5398767708637596,merchant_5890,misc_net,394.97,Robert,Martinez,F,9291 Cedar St,City_56,IL,51280,26.6687,-82.4073,450557,Designer,1957-09-08,00001c2c461e56b6d32ddbd9b248a87a,1751115052,39.5867,-87.9018,55126,0
2025-07-12 18:13:33,1740984264691304,merchant_8122,misc_pos,317.38,David,Davis,F,2848 Main St,City_24,OH,35200,47.4354,-87.0341,184929,Designer,1951-07-25,000006819502f26d8ab7127bb2e1d350,1752344013,36.7569,-93.4429,96619,0
2025-06-17 19:18:24,5860304584583172,merchant_5682,misc_pos,690.36,Amy,Williams,M,8318 Cedar St,City_63,CA,42626,28.1437,-111.0698,23179,Artist,1959-09-05,00000d82c1452ac9c8855851f52a6ab1,1750187904,31.0577,-124.4416,23306,0
2025-07-01 11:21:06,1057121661370102,merchant_2861,entertainment,319.02,Jane,Garcia,F,2930 Main St,City_65,TX,25813,39.756,-103.6232,394121,Artist,1966-02-03,00000834fa57072cfb1cc582ad5af234,1751368866,42.774,-90.9597,60681,0
2025-06-19 14:47:27,4812717076845879,merchant_1470,entertainment,66.17,Jane,Martinez,F,5061 Main St,City_95,FL,29542,33.6151,-117.3052,284184,Artist,1968-06-02,000020b15c6b6662194131360d16941b,1750344447,38.7957,-98.8633,21954,0
2025-07-11 02:48:22,5435722130676929,merchant_6854,grocery_pos,412.79,Amy,Rodriguez,M,8070 Pine St,City_15,GA,20834,35.5154,-121.3749,428624,Teacher,1963-12-22,000030e202292153f469c6dd2e2b85cf,1752202102,28.7216,-95.9032,97398,0
2025-07-09 13:54:14,3395056902585786,merchant_6400,grocery_net,893.6,John,Rodriguez,M,7557 Elm St,City_78,PA,12291,46.7005,-98.3778,389734,Analyst,1978-01-17,000007aad6c9db6145ab4087e9f58f43,1752069254,25.9601,-72.1105,72328,0
2025-06-23 16:17:03,2925087060957322,merchant_5770,entertainment,522.36,Emma,Rodriguez,F,2161 Main St,City_77,PA,84561,38.677,-113.4614,229521,Designer,1966-07-26,000017f36844bacfc8983ed07c8947a4,1750695423,40.0594,-72.3628,79857,0
